"","disturbance_severity","treatment","name","sd2018","sd2020"
"1","0","B","mean_height_mean",1.76,0.95
"2","0","B","moch",4.56,3.25
"3","0","B","max_ht",7.97,7.56
"4","0","B","p10",0.44,0.45
"5","0","B","p25",0.63,1.15
"6","0","B","p50",0.64,1.07
"7","0","B","p75",1.83,1.59
"8","0","B","p90",2.69,2.64
"9","0","B","cover_fraction",3.93,6.89
"10","0","B","vai_mean",0.53,0.65
"11","0","T","mean_height_mean",5.05,4.24
"12","0","T","moch",4.44,3.95
"13","0","T","max_ht",4.32,5.81
"14","0","T","p10",2.04,0.56
"15","0","T","p25",3.53,2.82
"16","0","T","p50",5.37,5.29
"17","0","T","p75",5.72,5.92
"18","0","T","p90",5.12,4.42
"19","0","T","cover_fraction",7.87,13.83
"20","0","T","vai_mean",0.79,1.22
"21","45","B","mean_height_mean",0.78,1.29
"22","45","B","moch",2.27,3.2
"23","45","B","max_ht",6.04,5.8
"24","45","B","p10",0.84,0.41
"25","45","B","p25",1.2,0.79
"26","45","B","p50",1.49,1.48
"27","45","B","p75",1.62,1.02
"28","45","B","p90",3.64,0.43
"29","45","B","cover_fraction",8.76,7.4
"30","45","B","vai_mean",0.8,0.8
"31","45","T","mean_height_mean",1.35,1.46
"32","45","T","moch",0.94,1.04
"33","45","T","max_ht",5.22,4.6
"34","45","T","p10",0.32,0.21
"35","45","T","p25",0.54,0.32
"36","45","T","p50",1.23,1.23
"37","45","T","p75",2.54,1.64
"38","45","T","p90",0.34,0.59
"39","45","T","cover_fraction",1.45,10.03
"40","45","T","vai_mean",0.11,0.91
"41","65","B","mean_height_mean",2.42,2.66
"42","65","B","moch",4.12,5.87
"43","65","B","max_ht",6.12,5.4
"44","65","B","p10",0.16,0.19
"45","65","B","p25",0.24,0.21
"46","65","B","p50",0.74,0.61
"47","65","B","p75",2.78,2.19
"48","65","B","p90",3.1,4.84
"49","65","B","cover_fraction",14.01,22.67
"50","65","B","vai_mean",1.4,1.91
"51","65","T","mean_height_mean",1.82,2.78
"52","65","T","moch",2.76,4.8
"53","65","T","max_ht",5.29,5.96
"54","65","T","p10",0.35,0.22
"55","65","T","p25",0.78,0.74
"56","65","T","p50",1.08,1.76
"57","65","T","p75",1.53,2.27
"58","65","T","p90",2.9,5.18
"59","65","T","cover_fraction",10.75,16.96
"60","65","T","vai_mean",1.13,1.6
"61","85","B","mean_height_mean",1.3,1.4
"62","85","B","moch",3.5,3.53
"63","85","B","max_ht",4.21,4.47
"64","85","B","p10",0.25,0.2
"65","85","B","p25",0.47,0.36
"66","85","B","p50",1.84,1.02
"67","85","B","p75",2.79,1.78
"68","85","B","p90",2.44,2.87
"69","85","B","cover_fraction",2.43,8.58
"70","85","B","vai_mean",0.22,0.63
"71","85","T","mean_height_mean",1.76,1.46
"72","85","T","moch",2.31,3.07
"73","85","T","max_ht",4.41,4.47
"74","85","T","p10",0.25,0.21
"75","85","T","p25",1.15,0.39
"76","85","T","p50",1.93,0.94
"77","85","T","p75",1.97,2.75
"78","85","T","p90",4.29,3.03
"79","85","T","cover_fraction",4.46,12.44
"80","85","T","vai_mean",0.65,1.41
